monthly_transaction_2024,transaction_type,channel,total_transaction,number_of_transactions,avg_transaction,percentage_per_channel,running_total,row_num
2024-01-01,ATM Withdrawal,ATM,2225.86,1,2225.86,5.5156257395207050,588471.12,1
2024-01-01,ATM Withdrawal,Branch,14817.79,3,4939.26,36.7181152124628272,588471.12,2
2024-01-01,ATM Withdrawal,Mobile App,23311.88,2,11655.94,57.7662590480164676,588471.12,3
2024-02-01,ATM Withdrawal,ATM,449.44,1,449.44,1.6603341429851214,548115.59,1
2024-02-01,ATM Withdrawal,Internet Banking,6085.42,3,2028.47,22.4809331621674039,548115.59,2
2024-02-01,ATM Withdrawal,Branch,9731.10,1,9731.10,35.9489088172003287,548115.59,3
2024-02-01,ATM Withdrawal,EFTPOS,10803.29,1,10803.29,39.9098238776471457,548115.59,4
2024-03-01,ATM Withdrawal,Mobile App,9603.95,1,9603.95,16.4119250584263472,521046.34,1
2024-03-01,ATM Withdrawal,ATM,12575.98,2,6287.99,21.4907450888716178,521046.34,2
2024-03-01,ATM Withdrawal,Branch,14359.39,2,7179.70,24.5383652106390294,521046.34,3
2024-03-01,ATM Withdrawal,Internet Banking,21978.80,3,7326.27,37.5589646420630054,521046.34,4
2024-04-01,ATM Withdrawal,EFTPOS,14719.00,1,14719.00,24.2653584024264369,462528.22,1
2024-04-01,ATM Withdrawal,ATM,22839.55,3,7613.18,37.6526847272327418,462528.22,2
2024-04-01,ATM Withdrawal,Mobile App,23099.94,2,11549.97,38.0819568703408212,462528.22,3
2024-05-01,ATM Withdrawal,ATM,1688.28,1,1688.28,6.3548871818190030,401869.73,1
2024-05-01,ATM Withdrawal,EFTPOS,5945.22,1,5945.22,22.3785168165789877,401869.73,2
2024-05-01,ATM Withdrawal,Mobile App,8521.17,1,8521.17,32.0746996985693335,401869.73,3
2024-05-01,ATM Withdrawal,Branch,10411.97,2,5205.99,39.1918963030326755,401869.73,4
2024-06-01,ATM Withdrawal,ATM,3794.55,1,3794.55,11.4264248213186062,375303.09,1
2024-06-01,ATM Withdrawal,Internet Banking,7457.50,1,7457.50,22.4565661554027501,375303.09,2
2024-06-01,ATM Withdrawal,Mobile App,21956.50,2,10978.25,66.1170090232786436,375303.09,3
2024-07-01,ATM Withdrawal,ATM,2037.64,1,2037.64,6.0006090015613763,342094.54,1
2024-07-01,ATM Withdrawal,EFTPOS,5691.24,1,5691.24,16.7600292367867569,342094.54,2
2024-07-01,ATM Withdrawal,Internet Banking,26228.34,2,13114.17,77.2393617616518666,342094.54,3
2024-08-01,ATM Withdrawal,Branch,3001.02,1,3001.02,4.9260571090524272,308137.32,1
2024-08-01,ATM Withdrawal,Mobile App,10858.34,2,5429.17,17.8235409792365039,308137.32,2
2024-08-01,ATM Withdrawal,ATM,11960.65,4,2990.16,19.6329397876015202,308137.32,3
2024-08-01,ATM Withdrawal,EFTPOS,15081.69,2,7540.85,24.7560050386285002,308137.32,4
2024-08-01,ATM Withdrawal,Internet Banking,20019.64,4,5004.91,32.8614570854810481,308137.32,5
2024-09-01,ATM Withdrawal,Internet Banking,10501.97,1,10501.97,20.3161686173300779,247215.98,1
2024-09-01,ATM Withdrawal,Mobile App,13098.40,1,13098.40,25.3389890675022203,247215.98,2
2024-09-01,ATM Withdrawal,EFTPOS,13191.54,2,6595.77,25.5191693522505221,247215.98,3
2024-09-01,ATM Withdrawal,ATM,14900.76,2,7450.38,28.8256729629171795,247215.98,4
2024-10-01,ATM Withdrawal,Branch,13169.10,2,6584.55,12.4863844544603616,195523.31,1
2024-10-01,ATM Withdrawal,ATM,14845.21,1,14845.21,14.0756011699508323,195523.31,2
2024-10-01,ATM Withdrawal,Mobile App,17465.71,2,8732.86,16.5602485993813460,195523.31,3
2024-10-01,ATM Withdrawal,Internet Banking,23248.35,4,5812.09,22.0431036313683964,195523.31,4
2024-10-01,ATM Withdrawal,EFTPOS,36739.31,4,9184.83,34.8346621448390634,195523.31,5
2024-11-01,ATM Withdrawal,Branch,13885.51,1,13885.51,38.8637317160345279,90055.63,1
2024-11-01,ATM Withdrawal,Internet Banking,21843.20,2,10921.60,61.1362682839654720,90055.63,2
2024-12-01,ATM Withdrawal,EFTPOS,10468.53,1,10468.53,19.2695076400429105,54326.92,1
2024-12-01,ATM Withdrawal,Internet Banking,13779.43,1,13779.43,25.3639079852124876,54326.92,2
2024-12-01,ATM Withdrawal,Branch,14162.82,2,7081.41,26.0696170517305232,54326.92,3
2024-12-01,ATM Withdrawal,Mobile App,15916.14,2,7958.07,29.2969673230140784,54326.92,4
2024-01-01,BPAY,Mobile App,4882.93,1,4882.93,14.6459706506497499,649269.66,1
2024-01-01,BPAY,ATM,13705.79,2,6852.89,41.1094564296372948,649269.66,2
2024-01-01,BPAY,Branch,14751.03,1,14751.03,44.2445729197129552,649269.66,3
2024-02-01,BPAY,Internet Banking,5862.25,1,5862.25,34.8808081625464403,615929.91,1
2024-02-01,BPAY,ATM,10944.27,1,10944.27,65.1191918374535596,615929.91,2
2024-03-01,BPAY,Branch,7134.57,1,7134.57,6.5880485504265406,599123.39,1
2024-03-01,BPAY,EFTPOS,13922.28,2,6961.14,12.8558072277141325,599123.39,2
2024-03-01,BPAY,ATM,29793.27,3,9931.09,27.5110496127960818,599123.39,3
2024-03-01,BPAY,Mobile App,57445.53,5,11489.11,53.0450946090632449,599123.39,4
2024-04-01,BPAY,Internet Banking,1777.49,1,1777.49,4.0435380599734569,490827.74,1
2024-04-01,BPAY,EFTPOS,4137.72,1,4137.72,9.4127271048013616,490827.74,2
2024-04-01,BPAY,Mobile App,14376.58,1,14376.58,32.7046837969570584,490827.74,3
2024-04-01,BPAY,ATM,23666.99,2,11833.50,53.8390510382681230,490827.74,4
2024-05-01,BPAY,ATM,1395.12,1,1395.12,1.9014480428013893,446868.96,1
2024-05-01,BPAY,Internet Banking,7221.51,1,7221.51,9.8423978264025039,446868.96,2
2024-05-01,BPAY,Branch,7303.23,1,7303.23,9.9537762985466417,446868.96,3
2024-05-01,BPAY,EFTPOS,20420.04,2,10210.02,27.8310432736439037,446868.96,4
2024-05-01,BPAY,Mobile App,37031.55,3,12343.85,50.4713345586055611,446868.96,5
2024-06-01,BPAY,Internet Banking,3655.43,1,3655.43,19.3509230442647276,373497.51,1
2024-06-01,BPAY,EFTPOS,3679.15,1,3679.15,19.4764907325011209,373497.51,2
2024-06-01,BPAY,ATM,11555.63,3,3851.88,61.1725862232341514,373497.51,3
2024-07-01,BPAY,Internet Banking,7436.08,2,3718.04,6.9865079918365092,354607.30,1
2024-07-01,BPAY,ATM,14763.46,1,14763.46,13.8708877899590416,354607.30,2
2024-07-01,BPAY,EFTPOS,15133.32,2,7566.66,14.2183867202907017,354607.30,3
2024-07-01,BPAY,Branch,27879.46,2,13939.73,26.1939180452720095,354607.30,4
2024-07-01,BPAY,Mobile App,41222.54,5,8244.51,38.7302994526417378,354607.30,5
2024-08-01,BPAY,Branch,2988.50,1,2988.50,5.0977084960216210,248172.44,1
2024-08-01,BPAY,Internet Banking,7754.73,1,7754.73,13.2278243283766924,248172.44,2
2024-08-01,BPAY,ATM,7840.05,2,3920.02,13.3733610487650359,248172.44,3
2024-08-01,BPAY,EFTPOS,10214.17,1,10214.17,17.4230755190929098,248172.44,4
2024-08-01,BPAY,Mobile App,29826.93,3,9942.31,50.8780306077437407,248172.44,5
2024-09-01,BPAY,Internet Banking,4308.47,1,4308.47,14.7474786890004299,189548.06,1
2024-09-01,BPAY,ATM,5014.68,1,5014.68,17.1647676395928661,189548.06,2
2024-09-01,BPAY,Mobile App,19891.81,2,9945.90,68.0877536714067039,189548.06,3
2024-10-01,BPAY,ATM,3568.94,1,3568.94,5.0192136873684702,160333.10,1
2024-10-01,BPAY,Mobile App,26940.14,2,13470.07,37.8875294702692728,160333.10,2
2024-10-01,BPAY,Branch,40596.48,4,10149.12,57.0932568423622569,160333.10,3
2024-11-01,BPAY,Branch,5309.68,1,5309.68,14.6852059897125453,89227.54,1
2024-11-01,BPAY,Internet Banking,11631.19,1,11631.19,32.1688728992113762,89227.54,2
2024-11-01,BPAY,Mobile App,19215.79,2,9607.90,53.1459211110760783,89227.54,3
2024-12-01,BPAY,EFTPOS,3262.73,1,3262.73,6.1478724302291576,53070.88,1
2024-12-01,BPAY,Branch,9649.13,1,9649.13,18.1815903561425776,53070.88,2
2024-12-01,BPAY,Internet Banking,15580.64,2,7790.32,29.3581715622578709,53070.88,3
2024-12-01,BPAY,ATM,24578.38,3,8192.79,46.3123656513703937,53070.88,4
2024-01-01,Direct Debit,Internet Banking,11245.49,1,11245.49,17.6766547072161464,666643.19,1
2024-01-01,Direct Debit,ATM,12364.79,2,6182.40,19.4360693359950642,666643.19,2
2024-01-01,Direct Debit,Branch,14815.11,2,7407.56,23.2876987947546085,666643.19,3
2024-01-01,Direct Debit,EFTPOS,25192.36,3,8397.45,39.5995771620341807,666643.19,4
2024-02-01,Direct Debit,ATM,5761.18,1,5761.18,13.9436564154184285,603025.44,1
2024-02-01,Direct Debit,Branch,12759.06,1,12759.06,30.8804704632920087,603025.44,2
