monthly_transaction_2024,transaction_type,channel,total_transaction,number_of_transactions,avg_transaction,percentage_per_channel,running_total,channel_rank
2024-01-01,ATM Withdrawal,Mobile App,23311.88,2,11655.94,57.77,40355.53,1
2024-01-01,ATM Withdrawal,Branch,14817.79,3,4939.26,36.72,40355.53,2
2024-01-01,ATM Withdrawal,ATM,2225.86,1,2225.86,5.52,40355.53,3
2024-02-01,ATM Withdrawal,EFTPOS,10803.29,1,10803.29,39.91,67424.78,1
2024-02-01,ATM Withdrawal,Branch,9731.10,1,9731.10,35.95,67424.78,2
2024-02-01,ATM Withdrawal,Internet Banking,6085.42,3,2028.47,22.48,67424.78,3
2024-02-01,ATM Withdrawal,ATM,449.44,1,449.44,1.66,67424.78,4
2024-03-01,ATM Withdrawal,Internet Banking,21978.80,3,7326.27,37.56,125942.90,1
2024-03-01,ATM Withdrawal,Branch,14359.39,2,7179.70,24.54,125942.90,2
2024-03-01,ATM Withdrawal,ATM,12575.98,2,6287.99,21.49,125942.90,3
2024-03-01,ATM Withdrawal,Mobile App,9603.95,1,9603.95,16.41,125942.90,4
2024-04-01,ATM Withdrawal,Mobile App,23099.94,2,11549.97,38.08,186601.39,1
2024-04-01,ATM Withdrawal,ATM,22839.55,3,7613.18,37.65,186601.39,2
2024-04-01,ATM Withdrawal,EFTPOS,14719.00,1,14719.00,24.27,186601.39,3
2024-05-01,ATM Withdrawal,Branch,10411.97,2,5205.99,39.19,213168.03,1
2024-05-01,ATM Withdrawal,Mobile App,8521.17,1,8521.17,32.07,213168.03,2
2024-05-01,ATM Withdrawal,EFTPOS,5945.22,1,5945.22,22.38,213168.03,3
2024-05-01,ATM Withdrawal,ATM,1688.28,1,1688.28,6.35,213168.03,4
2024-06-01,ATM Withdrawal,Mobile App,21956.50,2,10978.25,66.12,246376.58,1
2024-06-01,ATM Withdrawal,Internet Banking,7457.50,1,7457.50,22.46,246376.58,2
2024-06-01,ATM Withdrawal,ATM,3794.55,1,3794.55,11.43,246376.58,3
2024-07-01,ATM Withdrawal,Internet Banking,26228.34,2,13114.17,77.24,280333.80,1
2024-07-01,ATM Withdrawal,EFTPOS,5691.24,1,5691.24,16.76,280333.80,2
2024-07-01,ATM Withdrawal,ATM,2037.64,1,2037.64,6.00,280333.80,3
2024-08-01,ATM Withdrawal,Internet Banking,20019.64,4,5004.91,32.86,341255.14,1
2024-08-01,ATM Withdrawal,EFTPOS,15081.69,2,7540.85,24.76,341255.14,2
2024-08-01,ATM Withdrawal,ATM,11960.65,4,2990.16,19.63,341255.14,3
2024-08-01,ATM Withdrawal,Mobile App,10858.34,2,5429.17,17.82,341255.14,4
2024-08-01,ATM Withdrawal,Branch,3001.02,1,3001.02,4.93,341255.14,5
2024-09-01,ATM Withdrawal,ATM,14900.76,2,7450.38,28.83,392947.81,1
2024-09-01,ATM Withdrawal,EFTPOS,13191.54,2,6595.77,25.52,392947.81,2
2024-09-01,ATM Withdrawal,Mobile App,13098.40,1,13098.40,25.34,392947.81,3
2024-09-01,ATM Withdrawal,Internet Banking,10501.97,1,10501.97,20.32,392947.81,4
2024-10-01,ATM Withdrawal,EFTPOS,36739.31,4,9184.83,34.83,498415.49,1
2024-10-01,ATM Withdrawal,Internet Banking,23248.35,4,5812.09,22.04,498415.49,2
2024-10-01,ATM Withdrawal,Mobile App,17465.71,2,8732.86,16.56,498415.49,3
2024-10-01,ATM Withdrawal,ATM,14845.21,1,14845.21,14.08,498415.49,4
2024-10-01,ATM Withdrawal,Branch,13169.10,2,6584.55,12.49,498415.49,5
2024-11-01,ATM Withdrawal,Internet Banking,21843.20,2,10921.60,61.14,534144.20,1
2024-11-01,ATM Withdrawal,Branch,13885.51,1,13885.51,38.86,534144.20,2
2024-12-01,ATM Withdrawal,Mobile App,15916.14,2,7958.07,29.30,588471.12,1
2024-12-01,ATM Withdrawal,Branch,14162.82,2,7081.41,26.07,588471.12,2
2024-12-01,ATM Withdrawal,Internet Banking,13779.43,1,13779.43,25.36,588471.12,3
2024-12-01,ATM Withdrawal,EFTPOS,10468.53,1,10468.53,19.27,588471.12,4
2024-01-01,BPAY,Branch,14751.03,1,14751.03,44.24,33339.75,1
2024-01-01,BPAY,ATM,13705.79,2,6852.89,41.11,33339.75,2
2024-01-01,BPAY,Mobile App,4882.93,1,4882.93,14.65,33339.75,3
2024-02-01,BPAY,ATM,10944.27,1,10944.27,65.12,50146.27,1
2024-02-01,BPAY,Internet Banking,5862.25,1,5862.25,34.88,50146.27,2
2024-03-01,BPAY,Mobile App,57445.53,5,11489.11,53.05,158441.92,1
2024-03-01,BPAY,ATM,29793.27,3,9931.09,27.51,158441.92,2
2024-03-01,BPAY,EFTPOS,13922.28,2,6961.14,12.86,158441.92,3
2024-03-01,BPAY,Branch,7134.57,1,7134.57,6.59,158441.92,4
2024-04-01,BPAY,ATM,23666.99,2,11833.50,53.84,202400.70,1
2024-04-01,BPAY,Mobile App,14376.58,1,14376.58,32.70,202400.70,2
2024-04-01,BPAY,EFTPOS,4137.72,1,4137.72,9.41,202400.70,3
2024-04-01,BPAY,Internet Banking,1777.49,1,1777.49,4.04,202400.70,4
2024-05-01,BPAY,Mobile App,37031.55,3,12343.85,50.47,275772.15,1
2024-05-01,BPAY,EFTPOS,20420.04,2,10210.02,27.83,275772.15,2
2024-05-01,BPAY,Branch,7303.23,1,7303.23,9.95,275772.15,3
2024-05-01,BPAY,Internet Banking,7221.51,1,7221.51,9.84,275772.15,4
2024-05-01,BPAY,ATM,1395.12,1,1395.12,1.90,275772.15,5
2024-06-01,BPAY,ATM,11555.63,3,3851.88,61.17,294662.36,1
2024-06-01,BPAY,EFTPOS,3679.15,1,3679.15,19.48,294662.36,2
2024-06-01,BPAY,Internet Banking,3655.43,1,3655.43,19.35,294662.36,3
